target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	795.813	1	3.6216
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	510.485	41	231.48
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	148.574	13	252.181
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	455.945	5	31.606
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	135.676	3	63.7277
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	207.805	20	277.387
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	447.599	51	328.392
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1209.81	19	45.2634
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	275.616	245	2561.97
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	888.813	547	1773.73
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	374.314	122	939.368
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	798.813	14	50.512
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	726.885	41	162.566
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	273.089	33	348.274
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1056.81	72	196.357
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	708.953	54	219.527
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1641.81	769	1349.94
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	192.855	12	179.334
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1593.81	29	52.4411
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	399.5	47	339.072
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	828.813	11	38.2514
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1044.81	18	49.653
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	169.267	1452	24723.3
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2187.81	273	359.637
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	399.5	10	72.1431
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	217.577	29	384.147
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2034.81	249	352.684
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	148.574	8	155.188
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2301.81	42	52.5885
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	598.487	30	144.47
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	141.941	4	81.22
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1488.81	43	83.2415
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2433.81	117	138.551
gene_34|GeneMark.hmm|741_nt|-|51424|52164	741	510.485	27	152.438
gene_35|GeneMark.hmm|558_nt|+|52256|52813	558	338.552	9	76.6177
gene_36|GeneMark.hmm|1347_nt|-|53124|54470	1347	1113.81	40	103.504
gene_37|GeneMark.hmm|1737_nt|-|54598|56334	1737	1503.81	120	229.985
gene_38|GeneMark.hmm|540_nt|-|56398|56937	540	322.642	358	3197.97
gene_39|GeneMark.hmm|1545_nt|-|57158|58702	1545	1311.81	272	597.597
gene_40|GeneMark.hmm|1386_nt|-|59373|60758	1386	1152.81	39	97.5028
gene_41|GeneMark.hmm|1152_nt|+|60976|62127	1152	918.813	26	81.5563
gene_42|GeneMark.hmm|3129_nt|+|62231|65359	3129	2895.81	277	275.69
gene_43|GeneMark.hmm|891_nt|-|65476|66366	891	658.016	35	153.3
gene_44|GeneMark.hmm|4467_nt|+|66574|71040	4467	4233.81	486	330.839
gene_45|GeneMark.hmm|657_nt|+|71262|71918	657	430.486	875	5858.15
gene_46|GeneMark.hmm|648_nt|+|72247|72894	648	422.146	14	95.5823
gene_47|GeneMark.hmm|480_nt|+|73005|73484	480	270.449	7	74.5976
gene_48|GeneMark.hmm|891_nt|+|73706|74596	891	658.016	1203	5269.15
gene_49|GeneMark.hmm|891_nt|+|74723|75613	891	658.016	4	17.52
gene_50|GeneMark.hmm|420_nt|-|75616|76035	420	220.02	22	288.186
gene_51|GeneMark.hmm|543_nt|+|76184|76726	543	325.353	141	1249.04
gene_52|GeneMark.hmm|1422_nt|+|76792|78213	1422	1188.81	83	201.222
gene_53|GeneMark.hmm|2730_nt|+|78337|81066	2730	2496.81	140	161.605
gene_54|GeneMark.hmm|954_nt|-|81182|82135	954	720.885	374	1495.26
gene_55|GeneMark.hmm|633_nt|-|82228|82860	633	408.029	142	1003.02
gene_56|GeneMark.hmm|531_nt|-|82930|83460	531	314.814	41	375.355
gene_57|GeneMark.hmm|2424_nt|+|83752|86175	2424	2190.81	33	43.413
gene_58|GeneMark.hmm|567_nt|+|86997|87563	567	346.641	6	49.8865
gene_59|GeneMark.hmm|501_nt|+|87684|88184	501	288.738	35	349.362
gene_60|GeneMark.hmm|588_nt|-|88299|88886	588	365.858	143	1126.51
gene_61|GeneMark.hmm|1224_nt|-|88962|90185	1224	990.813	247	718.483
gene_62|GeneMark.hmm|528_nt|+|90678|91205	528	312.188	75	692.399
gene_63|GeneMark.hmm|483_nt|+|92473|92955	483	273.089	14	147.753
gene_64|GeneMark.hmm|525_nt|+|93033|93557	525	309.622	14	130.319
gene_65|GeneMark.hmm|960_nt|-|93827|94786	960	726.885	88	348.922
gene_66|GeneMark.hmm|1023_nt|-|95080|96102	1023	789.813	20	72.9822
gene_67|GeneMark.hmm|780_nt|-|96805|97584	780	548.681	157	824.692
gene_68|GeneMark.hmm|453_nt|+|97693|98145	453	247.35	5	58.26
gene_69|GeneMark.hmm|360_nt|-|98398|98757	360	171.634	17	285.468
gene_70|GeneMark.hmm|720_nt|+|99283|100002	720	490.396	24	141.051
gene_71|GeneMark.hmm|339_nt|-|100530|100868	339	155.484	16	296.583
gene_72|GeneMark.hmm|1029_nt|+|101083|102111	1029	795.813	37	133.999
gene_73|GeneMark.hmm|537_nt|+|102435|102971	537	320.056	19	171.096
gene_74|GeneMark.hmm|723_nt|-|102973|103695	723	493.207	25	146.091
gene_75|GeneMark.hmm|1548_nt|-|103815|105362	1548	1314.81	14	30.6885
gene_76|GeneMark.hmm|588_nt|-|105485|106072	588	365.858	7	55.1439
gene_77|GeneMark.hmm|873_nt|+|106349|107221	873	640.078	18	81.0497
gene_78|GeneMark.hmm|1821_nt|-|107265|109085	1821	1587.81	1079	1958.55
gene_79|GeneMark.hmm|1185_nt|-|109162|110346	1185	951.813	46	139.289
gene_80|GeneMark.hmm|1149_nt|-|110722|111870	1149	915.813	42	132.176
gene_81|GeneMark.hmm|393_nt|-|111922|112314	393	197.817	10	145.696
gene_82|GeneMark.hmm|390_nt|-|112409|112798	390	195.307	5	73.7844
gene_83|GeneMark.hmm|1497_nt|-|112913|114409	1497	1263.81	25	57.0123
gene_84|GeneMark.hmm|1089_nt|-|114506|115594	1089	855.813	41	138.075
gene_85|GeneMark.hmm|360_nt|+|115854|116213	360	171.634	38	638.105
gene_86|GeneMark.hmm|603_nt|-|116255|116857	603	380.092	39	295.724
gene_87|GeneMark.hmm|420_nt|+|117321|117740	420	220.02	13	170.292
gene_88|GeneMark.hmm|1149_nt|-|117751|118899	1149	915.813	13	40.9117
gene_89|GeneMark.hmm|1827_nt|-|119023|120849	1827	1593.81	28	50.6328
gene_90|GeneMark.hmm|1104_nt|-|120989|122092	1104	870.813	2002.81	6628.68
gene_91|GeneMark.hmm|945_nt|-|122574|123518	945	711.953	2821.19	11420.7
gene_92|GeneMark.hmm|1263_nt|-|123670|124932	1263	1029.81	121	338.64
gene_93|GeneMark.hmm|1848_nt|+|125079|126926	1848	1614.81	17	30.3416
gene_94|GeneMark.hmm|558_nt|-|126944|127501	558	338.552	14	119.183
gene_95|GeneMark.hmm|1359_nt|+|127594|128952	1359	1125.81	138	353.284
gene_96|GeneMark.hmm|327_nt|-|128953|129279	327	146.371	27	531.642
gene_97|GeneMark.hmm|417_nt|-|129357|129773	417	217.577	21	278.175
gene_98|GeneMark.hmm|1239_nt|+|129853|131091	1239	1005.81	70	200.582
gene_99|GeneMark.hmm|3012_nt|-|131088|134099	3012	2778.81	42	43.5614
gene_100|GeneMark.hmm|945_nt|+|134187|135131	945	711.953	3	12.1445
gene_101|GeneMark.hmm|417_nt|+|135172|135588	417	217.577	29	384.147
gene_102|GeneMark.hmm|642_nt|-|135589|136230	642	416.389	23	159.199
gene_103|GeneMark.hmm|642_nt|-|136265|136906	642	416.389	37	256.103
gene_104|GeneMark.hmm|681_nt|-|136975|137655	681	453.164	62	394.319
gene_105|GeneMark.hmm|1239_nt|+|137742|138980	1239	1005.81	4	11.4618
gene_106|GeneMark.hmm|2964_nt|-|139049|142012	2964	2730.81	542	572.03
gene_107|GeneMark.hmm|1512_nt|+|142103|143614	1512	1278.81	53	119.448
gene_108|GeneMark.hmm|606_nt|+|143723|144328	606	382.832	56	421.591
gene_109|GeneMark.hmm|708_nt|-|144620|145327	708	478.908	98	589.774
gene_110|GeneMark.hmm|480_nt|+|145414|145893	480	270.449	0	0
gene_111|GeneMark.hmm|1386_nt|+|145962|147347	1386	1152.81	38	95.0027
gene_112|GeneMark.hmm|630_nt|+|147383|148012	630	405.266	1	7.11167
gene_113|GeneMark.hmm|645_nt|-|148016|148660	645	419.186	20	137.51
gene_114|GeneMark.hmm|498_nt|+|148762|149259	498	286	10	100.773
gene_115|GeneMark.hmm|600_nt|-|149376|149975	600	377.277	14	106.95
gene_116|GeneMark.hmm|1797_nt|+|150056|151852	1797	1563.81	67	123.481
gene_117|GeneMark.hmm|312_nt|-|151937|152248	312	135.676	36	764.733
gene_118|GeneMark.hmm|843_nt|-|152729|153571	843	610.257	16	75.5647
gene_119|GeneMark.hmm|1920_nt|-|153899|155818	1920	1686.81	57	97.3911
gene_120|GeneMark.hmm|312_nt|-|155904|156215	312	135.676	24	509.822
gene_121|GeneMark.hmm|678_nt|+|156413|157090	678	450.338	8	51.1991
gene_122|GeneMark.hmm|1302_nt|-|157171|158472	1302	1068.81	5	13.4828
gene_123|GeneMark.hmm|702_nt|-|158556|159257	702	473.228	8	48.7227
gene_124|GeneMark.hmm|330_nt|-|159537|159866	330	148.574	4	77.5941
gene_125|GeneMark.hmm|1869_nt|-|160007|161875	1869	1635.81	110	193.807
gene_126|GeneMark.hmm|1416_nt|+|162083|163498	1416	1182.81	44	107.213
gene_127|GeneMark.hmm|762_nt|+|163491|164252	762	530.937	13	70.5687
gene_128|GeneMark.hmm|639_nt|-|164257|164895	639	413.59	16	111.497
gene_129|GeneMark.hmm|1266_nt|+|166755|168020	1266	1032.81	41	114.413
gene_130|GeneMark.hmm|1227_nt|-|168095|169321	1227	993.813	39	113.102
gene_131|GeneMark.hmm|612_nt|+|169771|170382	612	388.495	9	66.7681
gene_132|GeneMark.hmm|744_nt|+|171352|172095	744	513.289	921	5171.42
gene_133|GeneMark.hmm|1755_nt|+|172232|173986	1755	1521.81	17	32.1958
gene_134|GeneMark.hmm|309_nt|+|174048|174356	309	133.348	12	259.361
gene_135|GeneMark.hmm|939_nt|-|174364|175302	939	705.953	30	122.478
gene_136|GeneMark.hmm|327_nt|-|175576|175902	327	146.371	8	157.523
gene_137|GeneMark.hmm|1200_nt|-|176055|177254	1200	966.813	33	98.3746
gene_138|GeneMark.hmm|6351_nt|-|177334|183684	6351	6117.81	89	41.9281
gene_139|GeneMark.hmm|555_nt|+|183806|184360	555	335.884	13	111.549
gene_140|GeneMark.hmm|849_nt|+|184413|185261	849	616.257	17	79.5058
gene_141|GeneMark.hmm|699_nt|+|185350|186048	699	470.364	16	98.0387
gene_142|GeneMark.hmm|1572_nt|+|186120|187691	1572	1338.81	23	49.513
gene_143|GeneMark.hmm|630_nt|+|187713|188342	630	405.266	91	647.162
gene_144|GeneMark.hmm|4395_nt|+|188494|192888	4395	4161.81	402	278.391
gene_145|GeneMark.hmm|375_nt|-|192890|193264	375	183.279	3	47.176
gene_146|GeneMark.hmm|906_nt|+|193364|194269	906	672.953	405	1734.53
gene_147|GeneMark.hmm|2172_nt|+|194368|196539	2172	1938.81	87	129.329
gene_148|GeneMark.hmm|321_nt|+|196657|196977	321	141.941	3	60.915
gene_149|GeneMark.hmm|732_nt|+|197058|197789	732	501.825	5	28.7164
gene_150|GeneMark.hmm|1488_nt|+|197832|199319	1488	1254.81	21	48.2338
gene_151|GeneMark.hmm|1152_nt|-|199352|200503	1152	918.813	24	75.2828
gene_152|GeneMark.hmm|3966_nt|-|200845|204810	3966	3732.81	96	74.1219
gene_153|GeneMark.hmm|5511_nt|-|204908|210418	5511	5277.81	81	44.2326
