PkV-RF01	390967	551649	2	2	0	0	5	13
PkV-RF01	391081	551649	2	2	0	0	5	13
PkV-RF01	391138	551649	2	2	0	0	5	13
PkV-RF01	493005	493040	2	2	0	1	0	31
PkV-RF01	493005	493052	2	2	0	0	1	30
PkV-RF01	493005	493064	2	2	0	0	1	42
PkV-RF01	822130	1040209	2	2	0	0	4	13
PkV-RF01	874947	1063676	1	1	0	5	0	15
PkV-RF01	1033599	1033958	2	2	0	2	0	13
PkV-RF01	1033599	1068874	2	2	0	1	2	16
PkV-RF01	1034547	1069090	2	2	0	1	0	12
PkV-RF01	1068908	1068991	2	2	0	0	1	18
PkV-RF01	1146248	1163713	1	1	0	1	0	13
PkV-RF01	1163729	1163758	1	1	0	0	1	14
PkV-RF01	1293959	1303701	1	1	0	1	0	19
