target_id	length	eff_length	est_counts	tpm
gene_1|GeneMark.hmm|1029_nt|-|734|1762	1029	775.036	0.5	2.10184
gene_2|GeneMark.hmm|741_nt|-|3862|4602	741	491.046	38	252.123
gene_3|GeneMark.hmm|330_nt|-|6989|7318	330	143.053	8	182.198
gene_4|GeneMark.hmm|684_nt|-|7479|8162	684	437.25	8	59.609
gene_5|GeneMark.hmm|312_nt|-|8559|8870	312	130.871	11	273.843
gene_6|GeneMark.hmm|405_nt|+|9205|9609	405	199.026	19	311.025
gene_7|GeneMark.hmm|675_nt|+|9928|10602	675	428.84	9	68.3753
gene_8|GeneMark.hmm|1443_nt|+|10748|12190	1443	1189.04	17	46.5807
gene_9|GeneMark.hmm|486_nt|-|14683|15168	486	262.364	476	5910.92
gene_10|GeneMark.hmm|1122_nt|-|16447|17568	1122	868.036	702	2634.82
gene_11|GeneMark.hmm|597_nt|+|18305|18901	597	357.041	85	775.626
gene_12|GeneMark.hmm|1032_nt|-|19938|20969	1032	778.036	35	146.562
gene_13|GeneMark.hmm|960_nt|+|21086|22045	960	706.036	66	304.557
gene_14|GeneMark.hmm|483_nt|-|22360|22842	483	259.746	41	514.265
gene_15|GeneMark.hmm|1290_nt|+|22946|24235	1290	1036.04	63	198.115
gene_16|GeneMark.hmm|942_nt|-|24358|25299	942	688.102	49	232.004
gene_17|GeneMark.hmm|1875_nt|+|26326|28200	1875	1621.04	33	66.3244
gene_18|GeneMark.hmm|387_nt|-|28668|29054	387	184.651	25	441.104
gene_19|GeneMark.hmm|1827_nt|+|29143|30969	1827	1573.04	28	57.9924
gene_20|GeneMark.hmm|624_nt|+|31043|31666	624	381.468	64	546.605
gene_21|GeneMark.hmm|1062_nt|-|31907|32968	1062	808.036	20	80.6401
gene_22|GeneMark.hmm|1278_nt|-|33043|34320	1278	1024.04	13	41.36
gene_23|GeneMark.hmm|357_nt|+|34945|35301	357	162.504	21	421.024
gene_24|GeneMark.hmm|2421_nt|-|35501|37921	2421	2167.04	223	335.267
gene_25|GeneMark.hmm|624_nt|-|38093|38716	624	381.468	9	76.8664
gene_26|GeneMark.hmm|417_nt|-|39396|39812	417	207.934	57	893.103
gene_27|GeneMark.hmm|2268_nt|-|40214|42481	2268	2014.04	155	250.736
gene_28|GeneMark.hmm|330_nt|+|42588|42917	330	143.053	14	318.847
gene_29|GeneMark.hmm|2535_nt|-|43048|45582	2535	2281.04	41	58.5603
gene_30|GeneMark.hmm|831_nt|+|45670|46500	831	578.768	45	253.314
gene_31|GeneMark.hmm|321_nt|+|46592|46912	321	136.944	4	95.1633
gene_32|GeneMark.hmm|1722_nt|-|47033|48754	1722	1468.04	53	117.623
gene_33|GeneMark.hmm|2667_nt|+|48872|51538	2667	2413.04	75	101.263
